NAME	left	right	DNA strand where the operon is coded	Evidence that support the existence of the operon's Tus
ydhL	1723705	1723944	reverse	[ICWHO|W|Inferred computationally without human oversight]
ydhP	1734145	1735314	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
ydhQ	1742895	1744151	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
ydhR	1744724	1745029	forward	[ICWHO|W|Inferred computationally without human oversight]
ydhS	1745155	1746759	forward	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
ydhYVWXUT	1746771	1752501	reverse	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]; [LTED|S|Length of transcript experimentally determined],[PAGTSBP|W|Products of adjacent genes in the same biological process]"
ydhZ	1752956	1753165	reverse	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
ydiE	1787637	1787828	forward	[ICWHO|W|Inferred computationally without human oversight]
ydiFO	1773611	1776371	forward	[ICWHO|W|Inferred computationally without human oversight]
ydiJ-menI-ydiH	1762958	1766709	reverse	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
ydiK	1767098	1768210	forward	[ICWHO|W|Inferred computationally without human oversight]
ydiL	1768639	1768995	forward	[ICWHO|W|Inferred computationally without human oversight]
ydiM	1769095	1770309	forward	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
ydiNB-aroD	1770536	1773468	forward	[ICWHO|W|Inferred computationally without human oversight]
ydiP	1776414	1777325	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
ydiQRST-fadK	1777641	1782701	forward	
ydiU	1787832	1789268	reverse	
ydiV	1789331	1790044	reverse	[ICWHO|W|Inferred computationally without human oversight]
ydiY	1803349	1804107	reverse	"[IC|W|Inferred by curator]; [AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]"
ydiZ	1805424	1805714	forward	[ICWHO|W|Inferred computationally without human oversight]
ydjA-selD-topB	1843023	1846700	reverse	[LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified]
ydjE	1850645	1852003	reverse	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
ydjF	1852120	1852878	reverse	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
ydjLKJIHG	1853015	1859356	reverse	[ICWHO|W|Inferred computationally without human oversight]
ydjM	1808235	1808825	forward	[LTED|S|Length of transcript experimentally determined]
ydjN	1808958	1810349	forward	[ICWHO|W|Inferred computationally without human oversight]
ydjO	1810353	1811168	reverse	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
ydjXYZ-ynjABCD	1831425	1837424	forward	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
yeaC	1859726	1859998	reverse	[ICWHO|W|Inferred computationally without human oversight]
yeaE	1862806	1863660	reverse	[ICWHO|W|Inferred computationally without human oversight]
yeaGH	1864932	1868262	forward	[IC|W|Inferred by curator]
yeaI	1868409	1869884	forward	"[ICWHO|W|Inferred computationally without human oversight],[PM|S|Polar mutation]; [IC|W|Inferred by curator]"
yeaJ	1870065	1871555	forward	[ICWHO|W|Inferred computationally without human oversight],[PM|S|Polar mutation]
yeaK	1871598	1872101	forward	[ICWHO|W|Inferred computationally without human oversight]
yeaL	1872376	1872822	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
yeaM	1872779	1873600	reverse	"[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]; [IC|W|Inferred by curator]"
yeaN	1873697	1874878	forward	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
yeaO	1874933	1875280	forward	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
yeaP	1875739	1876764	forward	"[IC|W|Inferred by curator]; [AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]"
yeaQ	1877031	1877279	reverse	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
yeaR-yoaG	1877427	1877972	reverse	[ICWHO|W|Inferred computationally without human oversight]
yeaVW	1881212	1883813	forward	[ICWHO|W|Inferred computationally without human oversight]
yeaX	1883869	1884834	forward	[ICWHO|W|Inferred computationally without human oversight]
yebB	1944275	1944877	forward	"[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]; [BTEI|W|Boundaries of transcription experimentally identified]"
yebE	1927072	1927731	reverse	[ICWHO|W|Inferred computationally without human oversight]
yebF	1928058	1928414	reverse	[ICWHO|W|Inferred computationally without human oversight]
yebG	1928481	1928771	reverse	[ICWHO|W|Inferred computationally without human oversight]
yebK	1934676	1935545	forward	[ICWHO|W|Inferred computationally without human oversight]
yebO	1906285	1906572	reverse	[ICWHO|W|Inferred computationally without human oversight]
yebQ	1908300	1909673	forward	"[IC|W|Inferred by curator]; [AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]"
yebST	1914282	1918167	forward	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
yebV	1919804	1920040	forward	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
yebW	1920145	1920336	forward	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
yecA	1988978	1989643	reverse	[ICWHO|W|Inferred computationally without human oversight]
yecDE	1948856	1950237	forward	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
yecF	1993842	1994066	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
yecH	1987275	1987514	reverse	"[IC|W|Inferred by curator]; [AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]"
yecJ	1985531	1985782	reverse	[ICWHO|W|Inferred computationally without human oversight]
yecM	1957304	1957870	reverse	"[IC|W|Inferred by curator]; [IHBCE|W|Inferred by a human based on computational evidence]"
yecN-cmoAB	1950290	1952437	forward	[ICWHO|W|Inferred computationally without human oversight]
yecR	1986246	1986569	forward	
yecT	1959996	1960484	forward	[ICWHO|W|Inferred computationally without human oversight]
yedA	2027563	2028483	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
yedD	2005701	2006114	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
yedEF	2006301	2007736	forward	[ICWHO|W|Inferred computationally without human oversight]
yedI	2026473	2027390	reverse	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
yedK	2007845	2008513	forward	[ICWHO|W|Inferred computationally without human oversight]
yedL	2008624	2009103	forward	[ICWHO|W|Inferred computationally without human oversight]
yedM	2010025	2010375	reverse	[ICWHO|W|Inferred computationally without human oversight]
yedN_1N_2	2009372	2009893	reverse	[ICWHO|W|Inferred computationally without human oversight]
yedP	2023535	2024350	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
yedQ	2024347	2026041	reverse	[ICWHO|W|Inferred computationally without human oversight]
yedRJ	2030408	2031508	reverse	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
yedS_1S_2	2032075	2032779	forward	[ICWHO|W|Inferred computationally without human oversight]
yedS_3	2032863	2033267	forward	[ICWHO|W|Inferred computationally without human oversight]
yedWV	2034818	2036847	reverse	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
yedX	2036980	2037393	forward	[ICWHO|W|Inferred computationally without human oversight]
yedYZ	2037502	2039142	forward	[ICWHO|W|Inferred computationally without human oversight]
yeeA	2077557	2078615	reverse	[ICWHO|W|Inferred computationally without human oversight]
yeeED	2082250	2083549	reverse	[ICWHO|W|Inferred computationally without human oversight]
yeeJ	2042935	2050038	forward	[ICWHO|W|Inferred computationally without human oversight]
yeeL_1L_2	2050300	2051352	reverse	[ICWHO|W|Inferred computationally without human oversight]
yeeN	2054882	2055598	forward	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
yeeO	2056227	2057870	reverse	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
yeeP	2068810	2069235	forward	[ICWHO|W|Inferred computationally without human oversight]
yeeRST-cbeA-cbtA-yeeW	2072803	2076158	forward	[ICWHO|W|Inferred computationally without human oversight]
yeeX	2077056	2077385	reverse	[ICWHO|W|Inferred computationally without human oversight]
yeeY	2085353	2086282	reverse	[ICWHO|W|Inferred computationally without human oversight]
yeeZ	2086328	2087152	reverse	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
yefM-yoeB	2087235	2087737	reverse	[ICWHO|W|Inferred computationally without human oversight]
yegD	2145698	2147050	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
yegE	2141290	2144607	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
yegH	2135926	2137509	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
yegI	2147063	2149009	reverse	"[IC|W|Inferred by curator]; [AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]"
yegJ	2149209	2149670	forward	"[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]; [IC|W|Inferred by curator]"
yegLK	2149735	2151152	reverse	[ICWHO|W|Inferred computationally without human oversight]
yegP	2163213	2163545	forward	[ICWHO|W|Inferred computationally without human oversight]
yegQ	2163692	2165053	forward	[ICWHO|W|Inferred computationally without human oversight]
yegRZ	2165626	2166330	reverse	[ITCR|W|Inferred through co-regulation]
yegS	2166736	2167635	forward	"[IC|W|Inferred by curator]; [AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]"
yegTUV	2176843	2180083	forward	[ICWHO|W|Inferred computationally without human oversight]
yegW	2180057	2180803	reverse	[BTEI|W|Boundaries of transcription experimentally identified],[ICWHO|W|Inferred computationally without human oversight]
yegX	2180855	2181673	reverse	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
yehDCBA	2185402	2190244	reverse	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
yehE	2190537	2190818	reverse	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
yehK	2201994	2202311	forward	[ICWHO|W|Inferred computationally without human oversight]
yehLMPQ	2202618	2208966	forward	[ICWHO|W|Inferred computationally without human oversight]
yehR	2209247	2209708	forward	[ICWHO|W|Inferred computationally without human oversight]
yehS	2209748	2210218	reverse	[BTEI|W|Boundaries of transcription experimentally identified],[ICWHO|W|Inferred computationally without human oversight]
yehUT	2210265	2212666	reverse	[PAGTSBP|W|Products of adjacent genes in the same biological process],[ICWHO|W|Inferred computationally without human oversight]
yeiE	2246759	2247640	reverse	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
yeiG	2241932	2242768	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
yeiH	2247739	2248788	forward	[ICWHO|W|Inferred computationally without human oversight]
yeiI	2249722	2250810	forward	[IHBCE|W|Inferred by a human based on computational evidence]
yeiL	2253377	2254036	forward	[IHBCE|W|Inferred by a human based on computational evidence]
yeiP	2263472	2264044	forward	[ICWHO|W|Inferred computationally without human oversight]
yeiQ	2264267	2265733	forward	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
yeiR-lpxT	2265851	2267589	forward	[ICWHO|W|Inferred computationally without human oversight]
yeiW	2263063	2263317	reverse	"[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]; [IC|W|Inferred by curator]"
yejABEF	2270386	2275911	forward	[LTED|S|Length of transcript experimentally determined],[ICWHO|W|Inferred computationally without human oversight]
yejG	2275915	2276259	reverse	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
yejH	2278654	2280414	forward	[ICWHO|W|Inferred computationally without human oversight]
yejK	2280962	2281969	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
yejLM	2282151	2284158	forward	[ICWHO|W|Inferred computationally without human oversight]
yejO	2284412	2286922	reverse	
yfaATS_1S_2QP	2325389	2334666	reverse	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
yfaD-ypaA	2354926	2356023	forward	[ICWHO|W|Inferred computationally without human oversight]
yfaH	2347709	2347915	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
yfaL	2338439	2342191	reverse	"[IC|W|Inferred by curator]; [AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]"
yfaXWVU	2356064	2360233	reverse	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]; [AH|W|Author hypothesis]"
yfaY	2360453	2361655	reverse	[ICWHO|W|Inferred computationally without human oversight]
yfaZ	2361755	2362297	reverse	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
yfbK	2382017	2383744	reverse	"[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]; [IC|W|Inferred by curator]"
yfbL	2383882	2384853	forward	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
yfbM	2384956	2385459	forward	[ICWHO|W|Inferred computationally without human oversight]
yfbN	2385732	2386448	reverse	"[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]; [IC|W|Inferred by curator]"
yfbO	2386603	2387079	forward	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
yfbP	2387138	2387986	forward	[ICWHO|W|Inferred computationally without human oversight]
yfbS	2407542	2409374	reverse	[ICWHO|W|Inferred computationally without human oversight]
yfbUT	2409461	2410616	reverse	[ICWHO|W|Inferred computationally without human oversight]
yfbV	2410699	2411154	reverse	[ICWHO|W|Inferred computationally without human oversight]
yfcC	2415103	2416623	forward	[ICWHO|W|Inferred computationally without human oversight]
yfcD	2416656	2417198	reverse	[BTEI|W|Boundaries of transcription experimentally identified],[ICWHO|W|Inferred computationally without human oversight]
yfcE	2417256	2417810	reverse	[ICWHO|W|Inferred computationally without human oversight]
yfcF	2417863	2418507	reverse	[ICWHO|W|Inferred computationally without human oversight]
yfcG	2418643	2419290	forward	[ICWHO|W|Inferred computationally without human oversight]
yfcI	2420671	2421561	reverse	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
yfcJ	2436964	2438142	reverse	[ICWHO|W|Inferred computationally without human oversight]
yfcUTSRQPO	2447250	2453023	reverse	[ICWHO|W|Inferred computationally without human oversight]
yfcV	2453105	2453668	reverse	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
yfcZ	2458672	2458956	reverse	[ICWHO|W|Inferred computationally without human oversight]
yfdC	2463323	2464255	forward	[ICWHO|W|Inferred computationally without human oversight]
yfdF	2461034	2462092	forward	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
yfdGHI	2465877	2468484	forward	[ICWHO|W|Inferred computationally without human oversight]
yfdONMLK	2469099	2471268	reverse	[ICWHO|W|Inferred computationally without human oversight]
yfdPQ	2471542	2472878	forward	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
yfdRST	2473006	2474200	forward	[ICWHO|W|Inferred computationally without human oversight]
yfdX-frc-oxc-yfdVE	2486045	2492424	reverse	"[ICWHO|W|Inferred computationally without human oversight]; [ITCR|W|Inferred through co-regulation]; [IC|W|Inferred by curator]"
yfdY	2493072	2493314	reverse	"[IC|W|Inferred by curator]; [AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]"
yfeA	2513665	2515854	reverse	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
yfeCD	2516489	2517227	forward	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
yfeH	2524968	2525966	forward	"[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]; [IC|W|Inferred by curator]"
yfeKS	2535364	2536505	forward	[ITCR|W|Inferred through co-regulation]
yfeN	2523149	2523913	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
yfeO	2507652	2508908	forward	[ICWHO|W|Inferred computationally without human oversight]
yfeR	2523952	2524878	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
yfeYX	2547668	2549238	reverse	"[IC|W|Inferred by curator]; [ITCR|W|Inferred through co-regulation]"
yffB-dapE-ypfN	2589269	2590984	forward	[BTEI|W|Boundaries of transcription experimentally identified],[ICWHO|W|Inferred computationally without human oversight]
yffL	2558279	2558920	forward	[ICWHO|W|Inferred computationally without human oversight]
yffMN	2559390	2560015	forward	[ICWHO|W|Inferred computationally without human oversight]
yffOP	2560133	2561139	forward	"[ITCR|W|Inferred through co-regulation]; [IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
yffQR	2561599	2562394	forward	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
yffS	2562515	2563354	forward	[ICWHO|W|Inferred computationally without human oversight]
yfgF	2624717	2626960	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
yfgG	2627312	2627503	forward	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
yfgHI	2627814	2628887	forward	[ICWHO|W|Inferred computationally without human oversight]
yfgJ	2633621	2633836	reverse	[ICWHO|W|Inferred computationally without human oversight]
yfgM	2636685	2637305	reverse	[IC|W|Inferred by curator]
yfgO	2612842	2613903	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
yfhG	2686815	2687528	reverse	[IHBCE|W|Inferred by a human based on computational evidence]
yfhH	2696781	2697629	forward	[ICWHO|W|Inferred computationally without human oversight]
yfhL	2697685	2697945	forward	[BTEI|W|Boundaries of transcription experimentally identified],[ICWHO|W|Inferred computationally without human oversight]
yfhM-pbpC	2643035	2650309	reverse	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
yfhR	2662385	2663266	forward	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
yfiC	2710049	2710786	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
yfiE	2712461	2713342	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
yfiF	2715513	2716550	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
yfiL	2739382	2739747	forward	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
yfiM	2722201	2722473	forward	[ICWHO|W|Inferred computationally without human oversight]
yfiP-pka	2717245	2720635	forward	"[LTED|S|Length of transcript experimentally determined]; [ICWHO|W|Inferred computationally without human oversight]"
yfiRNB	2739897	2742129	forward	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]; [PM|S|Polar mutation]"
yfjD	2746796	2748082	forward	[ICWHO|W|Inferred computationally without human oversight]
yfjH	2755666	2756622	reverse	"[IC|W|Inferred by curator]; [AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]"
yfjI	2757007	2758416	forward	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
yfjJ	2758569	2759195	forward	[ICWHO|W|Inferred computationally without human oversight]
yfjLK	2759373	2763175	reverse	[ICWHO|W|Inferred computationally without human oversight]
yfjM	2763535	2763798	reverse	[ICWHO|W|Inferred computationally without human oversight]
yfjPQ	2765732	2767508	forward	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
yfjR-ypjK-yfjST	2767725	2769637	forward	[ICWHO|W|Inferred computationally without human oversight]
yfjW	2771340	2773043	forward	[ICWHO|W|Inferred computationally without human oversight]
yfjXY-ypjJ-yfjZ-ypjF	2773941	2775804	forward	[ICWHO|W|Inferred computationally without human oversight]
ygaC	2797672	2798016	reverse	
ygaM	2798168	2798497	forward	[ICWHO|W|Inferred computationally without human oversight]
ygaQ_1Q_2	2784419	2785456	forward	[ICWHO|W|Inferred computationally without human oversight]
ygaQ_3	2785664	2786260	forward	[ICWHO|W|Inferred computationally without human oversight]
ygaQ_4	2786399	2786671	forward	[ICWHO|W|Inferred computationally without human oversight]
ygaU	2794359	2794808	reverse	[ICWHO|W|Inferred computationally without human oversight]
ygaVP	2795233	2796066	forward	[PAGTSBP|W|Products of adjacent genes in the same biological process],[ITCR|W|Inferred through co-regulation],[ICWHO|W|Inferred computationally without human oversight]
ygaXY	2806338	2807515	forward	[ICWHO|W|Inferred computationally without human oversight]
ygaZH	2807639	2808701	forward	[ICWHO|W|Inferred computationally without human oversight]
ygbA	2854475	2854828	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit],[BTEI|W|Boundaries of transcription experimentally identified]
ygbE	2871036	2871359	reverse	[ICWHO|W|Inferred computationally without human oversight]
ygbI	2858489	2859286	reverse	"[IC|W|Inferred by curator]; [AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]"
ygbJK	2859452	2861523	forward	[ICWHO|W|Inferred computationally without human oversight]
ygbLM	2861615	2863034	forward	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
ygbN	2863123	2864487	forward	[ICWHO|W|Inferred computationally without human oversight]
ygcG	2903733	2904605	forward	"[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]; [IC|W|Inferred by curator]"
ygcNOP	2890679	2892793	forward	[ICWHO|W|Inferred computationally without human oversight]
ygcRQ	2892941	2894577	reverse	[ICWHO|W|Inferred computationally without human oversight]
ygcS	2894555	2895892	reverse	[ICWHO|W|Inferred computationally without human oversight]
ygcU	2895986	2897440	reverse	[ICWHO|W|Inferred computationally without human oversight]
ygcW	2897510	2898295	reverse	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
ygdD	2939258	2939653	reverse	[IHBCE|W|Inferred by a human based on computational evidence]
ygdG	2928987	2929832	forward	[ICWHO|W|Inferred computationally without human oversight]
ygdH	2924330	2925694	forward	[ICWHO|W|Inferred computationally without human oversight]
ygdI	2940940	2941167	reverse	"[IC|W|Inferred by curator]; [AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]"
ygdQ	2968442	2969155	forward	[ICWHO|W|Inferred computationally without human oversight]
ygdR	2969293	2969511	forward	[ICWHO|W|Inferred computationally without human oversight]
ygeA	2977965	2978657	reverse	[ICWHO|W|Inferred computationally without human oversight]
ygeF	2988576	2989022	forward	[ICWHO|W|Inferred computationally without human oversight]
ygeG	2989290	2989781	forward	[ICWHO|W|Inferred computationally without human oversight]
ygeH	2990116	2991492	forward	[ICWHO|W|Inferred computationally without human oversight]
ygeI	2991660	2991878	forward	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
ygeLK	2992482	2993114	reverse	[ICWHO|W|Inferred computationally without human oversight]
ygeP	2995711	2996010	reverse	[ICWHO|W|Inferred computationally without human oversight]
ygeQ	2996056	2996850	reverse	[ICWHO|W|Inferred computationally without human oversight]
ygeR	2997158	2997913	reverse	[ICWHO|W|Inferred computationally without human oversight]
ygeV	3002030	3003808	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
ygeW	3004284	3005474	forward	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
ygeX	3005532	3006728	forward	[ICWHO|W|Inferred computationally without human oversight]
ygeY	3006786	3007997	forward	[ICWHO|W|Inferred computationally without human oversight]
ygfB-pepP-ubiHI	3049137	3053466	reverse	[BTEI|W|Boundaries of transcription experimentally identified],[ICWHO|W|Inferred computationally without human oversight]
ygfF	3043180	3043923	reverse	[ICWHO|W|Inferred computationally without human oversight]
ygfI	3064299	3065195	reverse	[ICWHO|W|Inferred computationally without human oversight]
ygfK-ssnA	3014082	3018511	forward	"[LTED|S|Length of transcript experimentally determined]; [ICWHO|W|Inferred computationally without human oversight]"
ygfM-xdhD	3018562	3022208	forward	[ICWHO|W|Inferred computationally without human oversight]
ygfTS	3026546	3028953	reverse	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
ygfZ	3039335	3040315	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
yggE	3065362	3066102	reverse	
yggI	3087777	3088274	forward	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
yggM	3096580	3097587	reverse	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
yggN	3098926	3099645	reverse	
yggR	3092122	3093102	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
yggSTU-rdgB-yggW	3093120	3096425	forward	"[ITCR|W|Inferred through co-regulation]; [ICWHO|W|Inferred computationally without human oversight]"
yghA	3147684	3148568	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
yghB	3151585	3152244	forward	[ICWHO|W|Inferred computationally without human oversight]
yghED	3108612	3110010	reverse	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
yghF	3110076	3110942	reverse	[ICWHO|W|Inferred computationally without human oversight]
yghG	3111089	3111499	reverse	[ICWHO|W|Inferred computationally without human oversight]
yghJ	3112572	3117134	reverse	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
yghO	3127065	3128237	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
yghQ	3129363	3130430	reverse	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
yghSR	3130476	3131979	reverse	[ICWHO|W|Inferred computationally without human oversight]
yghT	3132153	3132845	forward	"[IC|W|Inferred by curator]; [AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]"
yghU	3136749	3137615	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
yghW	3144472	3144759	reverse	[ICWHO|W|Inferred computationally without human oversight]
yghX_2X_1	3144878	3145641	reverse	[ICWHO|W|Inferred computationally without human oversight]
yghZ	3145919	3146959	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
ygiD	3179641	3180456	reverse	"[IC|W|Inferred by curator]; [AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]"
ygiF-glnE	3194823	3198987	reverse	"[IC|W|Inferred by curator]; [LTED|S|Length of transcript experimentally determined],[ICWHO|W|Inferred computationally without human oversight]"
ygiH	3202716	3203333	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
ygiL	3183436	3183987	forward	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
ygiM-cca	3199229	3201151	forward	[ITCR|W|Inferred through co-regulation]
ygiN	3171164	3171478	forward	[ICWHO|W|Inferred computationally without human oversight]
ygiQ	3156949	3159168	reverse	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
ygiS	3164133	3165740	reverse	[ICWHO|W|Inferred computationally without human oversight]
ygiV	3166771	3167253	reverse	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
ygiW	3167306	3167698	reverse	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
ygiZ	3169901	3170233	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
ygjH	3218937	3219269	reverse	"[IC|W|Inferred by curator]; [AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]"
ygjI	3224256	3225689	forward	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
ygjJK	3225823	3229261	forward	[ICWHO|W|Inferred computationally without human oversight]
ygjP	3233982	3234485	forward	[ICWHO|W|Inferred computationally without human oversight]
ygjQ	3234562	3235254	forward	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
ygjR	3235315	3236319	forward	[ICWHO|W|Inferred computationally without human oversight]
ygjV	3239215	3239766	reverse	[ICWHO|W|Inferred computationally without human oversight]
yhaBC	3265876	3267624	forward	[ICWHO|W|Inferred computationally without human oversight]
